1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	0.0
7	0.0
8	0.0
9	0.0
10	0.0
11	0.0
12	0.0
13	0.0
14	0.0
15	0.0
16	0.0
17	0.0
18	0.0
19	0.0
20	0.0
21	0.002
22	0.002
23	0.002
24	0.002
25	0.001
26	0.004
27	0.006
28	0.006
29	0.007
30	0.012
31	0.011
32	0.016
33	0.022
34	0.025
35	0.029
36	0.034
37	0.046
38	0.059
39	0.063
40	0.074
41	0.086
42	0.086
43	0.095
44	0.096
45	0.102
46	0.109
47	0.086
48	0.104
49	0.122
50	0.131
51	0.141
52	0.149
53	0.152
54	0.152
55	0.164
56	0.164
57	0.178
58	0.187
59	0.186
60	0.197
61	0.185
62	0.225
63	0.229
64	0.069
65	0.25
66	0.251
67	0.265
68	0.268
69	0.282
70	0.288
71	0.296
72	0.299
73	0.304
74	0.318
75	0.318
76	0.319
77	0.329
78	0.338
79	0.338
80	0.319
81	0.335
82	0.348
83	0.368
84	0.261
85	0.343
86	0.357
87	0.356
88	0.381
89	0.388
90	0.394
91	0.405
92	0.418
93	0.412
94	0.431
95	0.366
96	0.45
97	0.455
98	0.454
99	0.46
100	0.458
101	0.435
102	0.152
103	0.318
104	0.345
105	0.376
106	0.397
107	0.412
108	0.434
109	0.447
110	0.457
111	0.443
112	0.45
113	0.492
114	0.215
115	0.461
116	0.51
117	0.522
118	0.534
119	0.527
120	0.516
121	0.542
122	0.543
123	0.549
124	0.545
125	0.55
126	0.563
127	0.577
128	0.565
129	0.531
130	0.583
131	0.577
132	0.592
133	0.546
134	0.604
135	0.606
136	0.604
137	0.612
138	0.618
139	0.619
140	0.633
141	0.64
142	0.629
143	0.645
144	0.615
145	0.649
146	0.644
147	0.6
148	0.654
149	0.372
150	0.656
151	0.673
152	0.458
153	0.672
154	0.674
155	0.689
156	0.681
157	0.685
158	0.593
159	0.68
160	0.676
161	0.686
162	0.69
163	0.658
164	0.692
165	0.7
166	0.692
167	0.691
168	0.704
169	0.706
170	0.691
171	0.713
172	0.697
173	0.719
174	0.701
175	0.645
176	0.711
177	0.717
178	0.718
179	0.703
180	0.73
181	0.727
182	0.725
183	0.737
184	0.734
185	0.735
186	0.74
187	0.743
188	0.743
189	0.741
190	0.746
191	0.752
192	0.739
193	0.752
194	0.731
195	0.751
196	0.756
197	0.741
198	0.751
199	0.755
200	0.726
201	0.763
202	0.76
203	0.754
204	0.757
205	0.761
206	0.58
207	0.756
208	0.764
209	0.768
210	0.76
211	0.774
212	0.685
213	0.746
214	0.748
215	0.772
216	0.768
217	0.762
218	0.771
219	0.54
220	0.773
221	0.786
222	0.79
223	0.78
224	0.787
225	0.789
226	0.792
227	0.792
228	0.083
229	0.792
230	0.797
231	0.799
232	0.773
233	0.798
234	0.054
235	0.794
236	0.801
237	0.245
238	0.805
239	0.807
240	0.803
241	0.801
242	0.027
243	0.808
244	0.813
245	0.816
246	0.751
247	0.81
248	0.813
249	0.813
250	0.015
251	0.816
252	0.818
253	0.818
254	0.804
255	0.812
256	0.818
257	0.828
258	0.82
259	0.828
260	0.828
261	0.809
262	0.769
263	0.791
264	0.798
265	0.812
266	0.809
267	0.812
268	0.813
269	0.815
270	0.807
271	0.81
272	0.811
273	0.815
274	0.753
275	0.808
276	0.816
277	0.815
