1	0.0
2	0.0
3	0.003
4	0.006
5	0.027
6	0.062
7	0.096
8	0.112
9	0.137
10	0.146
11	0.16
12	0.173
13	0.173
14	0.19
15	0.213
16	0.209
17	0.219
18	0.208
19	0.193
20	0.243
21	0.251
22	0.248
23	0.056
24	0.258
25	0.26
26	0.269
27	0.274
28	0.277
29	0.269
30	0.277
31	0.283
32	0.289
33	0.277
34	0.285
35	0.267
36	0.284
37	0.286
38	0.292
39	0.305
40	0.275
41	0.291
42	0.215
43	0.291
44	0.298
45	0.261
46	0.285
47	0.256
48	0.291
49	0.291
50	0.299
51	0.299
52	0.286
53	0.301
54	0.033
55	0.302
56	0.286
57	0.305
58	0.051
59	0.288
