answer_len	accuracy
3	1.0
4	1.0
5	1.0
6	0.918032786885
7	0.898734177215
8	0.943820224719
9	0.954022988506
10	0.905660377358
11	0.825
12	0.935483870968
13	0.838709677419
14	0.705882352941
15	0.8125
16	0.76
17	0.684210526316
18	0.864864864865
19	1.0
20	0.642857142857
21	0.692307692308
22	0.588235294118
23	1.0
24	1.0
25	0.5
26	0.0
27	0.333333333333
28	0.0
29	0.333333333333
30	0.0
31	0.75
34	0.0
37	0.0
38	0.5
47	0.0
